Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Water:Facility [m3](Monthly),EnergyTransfer:Facility [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricityNet:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),PlantLoopHeatingDemand:Facility [J](Monthly),MainsWater:Facility [m3](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Source:Facility [J](Monthly),SO2:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),PM10:Facility [kg](Monthly),CO:Facility [kg](Monthly),CO2:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly) 
 01/21  01:00:00,735047854.9547787,9444310.254834529,0.0,672278760.3611205,0.0,0.0,20055337.338236693,19983337.338236693,72000.0 
 01/21  02:00:00,589189585.5708714,7555448.2038676245,0.0,528309353.02818,0.0,0.0,18348870.446581267,14377651.270077487,3971219.176503778 
 01/21  03:00:00,739907444.4223409,9444310.254834529,0.0,677138349.8286827,0.0,0.0,20754078.95735894,20682078.95735894,72000.0 
 01/21  04:00:00,592751319.1414049,7555448.2038676245,0.0,531871086.5987136,0.0,0.0,18781168.14427471,14810011.47706081,3971156.667213903 
 01/21  05:00:00,743750093.7346567,9444310.254834529,0.0,680980999.1409985,0.0,0.0,21179005.91019259,21107005.91019259,72000.0 
 01/21  06:00:00,595570971.7961261,7555448.2038676245,0.0,534690739.2534348,0.0,0.0,19050857.24669331,15079483.07882608,3971374.1678672293 
 01/21  07:00:00,783810708.4795983,11333172.305801436,0.0,719152751.8349733,0.0,0.0,4534556.541850973,4462556.541850973,72000.0 
 01/21  08:00:00,691003540.2978315,11333172.305801436,0.0,652262286.9499099,0.0,18495296.7032967,527025917.33304924,523053905.82828456,3972011.5047646547 
 01/21  09:00:00,667846896.0567658,11333172.305801436,0.0,640299954.7967561,0.0,16183384.61538461,524625046.01688635,520652329.62370324,3972716.393183117 
 01/21  10:00:00,663512914.8812225,11333172.305801436,0.0,627874281.3135207,0.0,24275076.923076916,527262116.11839974,519386208.56248903,7875907.555910714 
 01/21  11:00:00,656657420.9261541,11333172.305801436,0.0,624486655.4903204,0.0,20807208.791208785,522556262.00145096,518582687.7615191,3973574.2399318516 
 01/21  12:00:00,655463602.8918431,11333172.305801436,0.0,615201145.1483171,0.0,28898901.098901093,521988662.27674544,518014353.8975452,3974308.379200219 
 01/21  13:00:00,649809202.0362716,11333172.305801436,0.0,614170568.4685695,0.0,24275076.923076916,525454240.4704698,517578730.9408585,7875509.529611379 
 01/21  14:00:00,643411023.6724026,11333172.305801436,0.0,617020038.4563491,0.0,15027428.571428565,521219097.90850633,517245536.9174693,3973560.9910370046 
 01/21  15:00:00,639151955.3971847,11333172.305801436,0.0,618540750.4009115,0.0,9247648.35164835,520955260.8515744,516982450.4374273,3972810.41414715 
 01/21  16:00:00,635679097.1021054,11333172.305801436,0.0,619691716.2816563,0.0,4623824.175824175,520741058.9385551,516768605.0751037,3972453.863451455 
 01/21  17:00:00,652326929.637632,11333172.305801436,0.0,617418792.773227,0.0,5779780.219780219,520561694.588109,516589281.4997557,3972413.0883533405 
 01/21  18:00:00,686782853.8845162,11333172.305801436,0.0,615189160.976155,0.0,6935736.263736261,516498668.91896355,516426668.91896355,72000.0 
 01/21  19:00:00,650044270.208562,9066537.844641149,0.0,587652948.0250975,0.0,0.0,7451819.344413629,3480172.2203558856,3971647.1240577423 
 01/21  20:00:00,565990099.133352,7555448.2038676245,0.0,505109866.5906608,0.0,0.0,11192778.717599824,7221634.678711031,3971144.0388887944 
 01/21  21:00:00,719527015.5038966,9444310.254834529,0.0,656757920.9102384,0.0,0.0,15241422.332985073,15169422.332985073,72000.0 
 01/21  22:00:00,578200101.15912,7555448.2038676245,0.0,517319868.61642873,0.0,0.0,16108962.346238868,12136989.492502406,3971972.8537364644 
 01/21  23:00:00,728690768.685377,9444310.254834529,0.0,665921674.0917189,0.0,0.0,18788135.755793504,18716135.755793504,72000.0 
 01/21  24:00:00,584638883.521588,7555448.2038676245,0.0,523758650.97889674,0.0,0.0,17604594.616615776,13634125.748770885,3970468.8678448903,15848764553.095608,5957979613.121544,0.28866239999999965,31893569373.161526,15848764553.095606,0.0,15848764553.095606,1646.5653164088699,43606908.717384435,0.28866239999999965,6830.113837238052,118905551948.08264,29.670483981931287,10.142913740636732,0.1335493402221604,0.0,0.0,0.29699916238943874,2.1173868625606884,5725.933585636401,11.848512332462946,0.0,0.17704923758629149,0.00009003251905196269,0.0004415477289425907,0.0,0.0 
 07/21  01:00:00,570486386.7715,16511670.37508814,114670026.36915952,0.0,192989952.8442144,192989952.8442144,72000.0,0.0,72000.0 
 07/21  02:00:00,569525723.1456611,11780633.898552857,118440399.21985589,0.0,192989952.8442144,192989952.8442144,72000.0,0.0,72000.0 
 07/21  03:00:00,612611256.3071504,15608930.915778812,157697635.36411908,0.0,192989952.8442144,192989952.8442144,3970521.561602095,0.0,3970521.561602095 
 07/21  04:00:00,567188504.1743504,11316568.707610322,116567245.4394877,0.0,192989952.8442144,192989952.8442144,72000.0,0.0,72000.0 
 07/21  05:00:00,571620229.9965369,15007757.954284973,143954982.01499945,0.0,192989952.8442144,192989952.8442144,3970319.907419151,0.0,3970319.907419151 
 07/21  06:00:00,512610730.3399786,11738451.632547121,114861988.68017915,0.0,192989952.8442144,192989952.8442144,72000.0,0.0,72000.0 
 07/21  07:00:00,634058091.8503262,23914786.709653385,224133015.11342043,0.0,192989952.8442144,192989952.8442144,3970408.0359148006,0.0,3970408.0359148006 
 07/21  08:00:00,649462867.8616366,25266346.777483717,197727769.5184391,0.0,192989952.8442144,233448414.38267595,3972447.267611918,0.0,3972447.267611918 
 07/21  09:00:00,730494085.2508551,30425611.69378276,234297216.49685293,0.0,192989952.8442144,272750919.8771814,3974423.343604313,0.0,3974423.343604313 
 07/21  10:00:00,715310007.9096746,30052563.223590385,249541044.76872215,0.0,192989952.8442144,242696062.73432428,7877767.603481944,0.0,7877767.603481944 
 07/21  11:00:00,726084966.3477647,30430848.078515705,266873454.6156231,0.0,192989952.8442144,235760326.47058803,3975137.214600964,0.0,3975137.214600964 
 07/21  12:00:00,750133675.4577265,31214063.333632518,283203212.2067318,0.0,192989952.8442144,242696062.73432428,7880058.792324472,0.0,7880058.792324472 
 07/21  13:00:00,789629499.7804435,33898651.1235835,302675108.0801571,0.0,192989952.8442144,260035403.3936649,11788307.158411533,0.0,11788307.158411533 
 07/21  14:00:00,794840543.8776052,35915919.706476584,317428444.03398615,0.0,192989952.8442144,248475842.95410454,7882416.939758621,0.0,7882416.939758621 
 07/21  15:00:00,790484533.011731,37294524.10372908,324409345.25437605,0.0,192989952.8442144,235760326.47058803,3974338.2856073747,0.0,3974338.2856073747 
 07/21  16:00:00,789418580.9442048,38178713.16519238,322459204.1253864,0.0,192989952.8442144,235760326.47058803,7876386.55824074,0.0,7876386.55824074 
 07/21  17:00:00,792831474.5840254,38652901.203957826,314994305.3308371,0.0,192989952.8442144,246163930.8661924,7879398.122226398,0.0,7879398.122226398 
 07/21  18:00:00,800914569.3646595,38843049.69124733,304391954.92088515,0.0,192989952.8442144,264659227.56948918,3973297.5086511467,0.0,3973297.5086511467 
 07/21  19:00:00,686901158.4491124,28435068.465143744,258584327.42924368,0.0,192989952.8442144,206861425.371687,3972549.4931580178,0.0,3972549.4931580178 
 07/21  20:00:00,680274435.7532957,21787423.844477016,223440897.7057421,0.0,192989952.8442144,197613777.0200386,3971773.643204119,0.0,3971773.643204119 
 07/21  21:00:00,673860801.9316722,20263635.155255318,209668652.57334024,0.0,192989952.8442144,197613777.0200386,72000.0,0.0,72000.0 
 07/21  22:00:00,656667709.9946206,19238579.725271896,198124440.2420964,0.0,192989952.8442144,192989952.8442144,3971065.6878082803,0.0,3971065.6878082803 
 07/21  23:00:00,569328663.1511947,15552941.427829258,114471031.69611305,0.0,192989952.8442144,192989952.8442144,72000.0,0.0,72000.0 
 07/21  24:00:00,544732098.1881889,12477210.049315946,92950198.11162058,0.0,192989952.8442144,192989952.8442144,3970920.5996243367,0.0,3970920.5996243367,16179470594.443916,99283537.72325024,0.6031584000000012,32551018007.725765,16179470594.443918,0.0,16179470594.443918,1595.3666521246448,61710472.53387593,0.6031584000000012,6972.633457710934,114853223078.99005,30.287995560787124,10.071562715197315,0.12999403048218236,0.0,0.0,0.28171742153780605,1.9228466256562051,5533.69777443687,12.089405668718479,0.0,0.16512793539084106,0.0000912470551547565,0.00044948684050718715,0.0,0.0 
